,Raw,req-label,req,chunk-count,chunks-in-req,keyword-count,keywords-in-req
125,"US:The product shall use a standard navigation menu familiar to most web users.
",US,The product shall use a standard navigation menu familiar to most web users.,2,"product, navigation menu",9,"menu, product, web, navigation, standard, shall, use, familiar, user"
126,"US:The product shall allow for intuitive searching of available conference rooms.
",US,The product shall allow for intuitive searching of available conference rooms.,3,"product, searching, conference",8,"product, searching, intuitive, conference, allow, shall, available, room"
127,"US:The product shall conform to the Americans with Disabilities Act.
",US,The product shall conform to the Americans with Disabilities Act.,1,product,6,"product, conform, american, shall, act, disability"
128,"PE:The response shall be fast enough to avoid interrupting the user's flow of thought.  90% of tasks shall complete within 5 seconds.  98% of tasks shall complete within 8 seconds.
",PE,The response shall be fast enough to avoid interrupting the user's flow of thought.  90% of tasks shall complete within 5 seconds.  98% of tasks shall complete within 8 seconds.,5,"response, user, flow of thought, 90 %, 98 %",18,"90, 8, shall, task, second, response, 98, fast, within, 's, enough, thought, flow, interrupt, avoid, complete, 5, user"
129,"A: Aside from server failure  the software product shall achieve 99.99% up time.
",A, Aside from server failure  the software product shall achieve 99.99% up time.,4,"failure, software product, achieve 99.99 %, time",9,"product, failure, software, time, achieve, shall, aside, server, 99.99"
130,"FT:The product shall create an exception log of problems encountered within the product for transmission to our company for analysis and resolution.
",FT,The product shall create an exception log of problems encountered within the product for transmission to our company for analysis and resolution.,5,"product, exception log, product for transmission, company for analysis, resolution",12,"product, problem, encounter, company, analysis, resolution, exception, shall, transmission, within, log, create"
131,"SC: The product shall be capable of handling up to 1 000 concurrent requests.  This number will increase to 2 000 by Release 2.  The concurrency capacity must be able to handle peak scheduling times such as early morning and late afternoon hours.
",SC, The product shall be capable of handling up to 1 000 concurrent requests.  This number will increase to 2 000 by Release 2.  The concurrency capacity must be able to handle peak scheduling times such as early morning and late afternoon hours.,8,"product, 000 concurrent, number, 000 by release, concurrency capacity, handle peak, morning, afternoon",25,"2., product, late, release, shall, 1, handle, request, number, 2, 000, must, concurrent, increase, capable, able, schedule, morning, concurrency, afternoon, hour, time, capacity, early, peak"
132,"SC: The product shall be able to process 10 000 transactions per hour within two years of its launch.  This number will increase to 20 000 by Release 2.
",SC, The product shall be able to process 10 000 transactions per hour within two years of its launch.  This number will increase to 20 000 by Release 2.,5,"product, per hour, launch, number, 000 by release",18,"product, release, shall, 10, number, 2, 000, 20, increase, able, launch, process, per, within, hour, year, transaction, two"
133,"SC:The product shall be expected to operate for at least 5 years for each customer installation.
",SC,The product shall be expected to operate for at least 5 years for each customer installation.,2,"product, customer installation",9,"product, least, year, expect, operate, installation, customer, shall, 5"
134,"O:The product shall be used in office environments.
",O,The product shall be used in office environments.,2,"product, be used in office",5,"product, office, shall, use, environment"
135,"O:The product must be able to interface with any HTML browser.  The product shall transmit data between the user and the product without problems. The product shall display HTML properly in 80% of all HTML browsers tested (minimum is to test 8 browsers).
",O,The product must be able to interface with any HTML browser.  The product shall transmit data between the user and the product without problems. The product shall display HTML properly in 80% of all HTML browsers tested (minimum is to test 8 browsers).,9,"product, html browser, product, user, product, product, 80 %, html, minimum",18,"html, product, problem, interface, 8, shall, minimum, browser, without, data, must, properly, test, able, transmit, display, 80, user"
136,"O:The product must be able to interface with various database management systems. The product shall communicate successfully with the database management system on 100% of all transactions.
",O,The product must be able to interface with various database management systems. The product shall communicate successfully with the database management system on 100% of all transactions.,5,"product, management, product, database management system, 100 %",13,"able, successfully, product, 100, management, interface, database, must, communicate, system, shall, transaction, various"
137,"O:The product must be able to interface with various email servers. The product shall be able to send email.
",O,The product must be able to interface with various email servers. The product shall be able to send email.,3,"product, product, send email",9,"able, product, interface, must, send, shall, server, email, various"
138,"O:The product shall be available for distribution via the Internet as a binary or ZIP file.
",O,The product shall be available for distribution via the Internet as a binary or ZIP file.,5,"product, for distribution, internet, binary, zip file",9,"internet, product, binary, zip, distribution, file, available, shall, via"
139,"O:The product shall be available for distribution as a packaged CD.
",O,The product shall be available for distribution as a packaged CD.,3,"product, for distribution, cd",6,"cd, product, distribution, available, shall, packaged"
140,"O: The product will be available for licensing as a one-server  two-five servers  or five-or-more servers license.
",O, The product will be available for licensing as a one-server  two-five servers  or five-or-more servers license.,2,"product, license",7,"product, one-server, five-or-more, available, license, two-five, server"
141,"US:A new user must be able to be added to the system within 10 minutes.  90% of new users are able to log into the system within 10 minutes.
",US,A new user must be able to be added to the system within 10 minutes.  90% of new users are able to log into the system within 10 minutes.,4,"user, system, 90 %, system",11,"able, new, 90, 10, minute, add, must, system, user, within, log"
142,"MN:The product must be designed using Design Patterns and coding best practices.  90% of maintenance software developers are able to integrate new functionality into the product with 2 working days.
",MN,The product must be designed using Design Patterns and coding best practices.  90% of maintenance software developers are able to integrate new functionality into the product with 2 working days.,5,"product, be designed using design, 90 % of maintenance software, functionality, product",19,"product, new, 90, pattern, 2, integrate, functionality, must, cod, able, best, software, design, developer, day, practice, maintenance, use, work"
143,"MN:The product must be highly configurable for use with various database management systems for the end users.  80% of end users are able to integrate new database management systems with the product without changing the product's software code.
",MN,The product must be highly configurable for use with various database management systems for the end users.  80% of end users are able to integrate new database management systems with the product without changing the product's software code.,9,"product, for use, management, end, 80 % of end, database management, product, product, software code",20,"product, new, management, system, change, end, various, integrate, without, must, configurable, code, able, software, highly, 's, 80, use, user, database"
144,"MN:Maintenance releases will be offered to customers once a year.  The releases shall take no longer than 5 minutes for 80% of the customer base to install.
",MN,Maintenance releases will be offered to customers once a year.  The releases shall take no longer than 5 minutes for 80% of the customer base to install.,4,"maintenance, year, 80 %, customer base",13,"offer, 5, base, install, minute, year, take, release, customer, maintenance, shall, long, 80"
145,"US:Every registered user will have access to the product's support site via the Internet.  70% of registered users shall find a solution to their problem within 5 minutes of using the support site.
",US,Every registered user will have access to the product's support site via the Internet.  70% of registered users shall find a solution to their problem within 5 minutes of using the support site.,9,"registered user, have access, product, support site, internet, 70 %, solution, problem, support site",20,"product, problem, every, register, shall, via, 70, support, access, internet, find, within, 's, minute, user, use, 5, solution, site, registered"
146,"MN:The customer shall be able to easily integrate new building maps with the product throughout the product's lifecycle.  Integration of new maps with the product shall be possible with little to no support from product support staff.
",MN,The customer shall be able to easily integrate new building maps with the product throughout the product's lifecycle.  Integration of new maps with the product shall be possible with little to no support from product support staff.,7,"customer, product, product, lifecycle, integration, product, support from product support staff",17,"able, support, product, new, lifecycle, build, integrate, throughout, possible, customer, shall, map, 's, little, integration, easily, staff"
147,"US: The product shall be translated into foreign languages other than the target market countries' languages in future releases.  For each emerging target market  it shall take no more than 5 days to configure the product for that market's language.
",US, The product shall be translated into foreign languages other than the target market countries' languages in future releases.  For each emerging target market  it shall take no more than 5 days to configure the product for that market's language.,6,"product, target market, emerging target market, product, market, language",17,"future, product, language, day, emerge, languages, translate, take, release, foreign, shall, configure, 5, target, 's, market, country"
148,"O: The product is expected to integrate with multiple database management systems.  The product will operate with Oracle  SQL Server  DB2  MySQL  HSQL  and MS Access.
",O, The product is expected to integrate with multiple database management systems.  The product will operate with Oracle  SQL Server  DB2  MySQL  HSQL  and MS Access.,5,"product, database management, product, operate with oracle sql server db2 mysql hsql, access",16,"product, oracle, management, hsql, integrate, sql, mysql, multiple, ms, expect, operate, system, db2, server, access, database"
149,"O:The product shall be able to be installed in any operating environment within 2 days.
",O,The product shall be able to be installed in any operating environment within 2 days.,2,"product, operating environment",9,"able, 2, product, day, instal, shall, within, operating, environment"
150,"SE:The product shall ensure that only company employees or external users with company-approved user IDs may have product access.  100% of all logons shall be by either company employees or external users with company-approved user IDs.
",SE,The product shall ensure that only company employees or external users with company-approved user IDs may have product access.  100% of all logons shall be by either company employees or external users with company-approved user IDs.,5,"product, only company, have product access, 100 %, company",14,"100, product, company, logons, either, id, company-approved, may, ensure, shall, external, user, access, employee"
151,"SE:Only managers are able to perform search queries for reservations by user.  100% of all search queries for reservations by user shall be from logons of only management logons.
",SE,Only managers are able to perform search queries for reservations by user.  100% of all search queries for reservations by user shall be from logons of only management logons.,5,"perform search, by user, 100 %, search, management",11,"able, perform, manager, 100, management, reservation, search, logons, shall, user, query"
152,"SE:The product shall ensure that the database's data corresponds to the data entered by the user.  Each conference room reservation in the system will contain the same information as was entered by the user.
",SE,The product shall ensure that the database's data corresponds to the data entered by the user.  Each conference room reservation in the system will contain the same information as was entered by the user.,7,"product, database, user, conference room reservation, system, information, user",15,"product, reservation, data, conference, ensure, information, enter, system, shall, user, corresponds, room, 's, contain, database"
153,"SE:The product shall prevent the input of malicious data.  The product and/or adjacent hardware/software systems' data shall remain 100% uncorrupted each time malicious data is input into the product.
",SE,The product shall prevent the input of malicious data.  The product and/or adjacent hardware/software systems' data shall remain 100% uncorrupted each time malicious data is input into the product.,7,"product, input, product, hardware/software, remain 100 %, time, product",14,"input, adjacent, product, 100, and/or, remain, data, time, uncorrupted, system, shall, hardware/software, prevent, malicious"
154,"FT:The product and/or dependent databases/filesystems shall remain operational as a result of the input of malicious data.  The product and/or dependent databases/filesystems shall not crash 100% of the time that malicious data is input into the product.
",FT,The product and/or dependent databases/filesystems shall remain operational as a result of the input of malicious data.  The product and/or dependent databases/filesystems shall not crash 100% of the time that malicious data is input into the product.,7,"product and/or, result, input, product and/or, not crash 100 %, time, product",14,"input, 100, product, databases/filesystems, and/or, remain, result, operational, dependent, data, time, crash, shall, malicious"
155,"SE:The product shall have the ability to receive automatic software updates as new threats emerge.  100% of customers will be able to receive automatic software updates transmitted to the installed product.
",SE,The product shall have the ability to receive automatic software updates as new threats emerge.  100% of customers will be able to receive automatic software updates transmitted to the installed product.,6,"product, ability, software, 100 %, software, product",15,"able, receive, product, new, automatic, 100, transmit, emerge, installed, software, customer, shall, threat, update, ability"
156,"SC:The language of the product shall accommodate all of the target market countries. 90% of survey respondents from each target market country will find that the language of the product is acceptable.
",SC,The language of the product shall accommodate all of the target market countries. 90% of survey respondents from each target market country will find that the language of the product is acceptable.,7,"language, product, target market, 90 % of survey, target market country, language, product",12,"product, language, 90, respondent, shall, find, acceptable, target, market, survey, accommodate, country"
157,"US:The product shall be able to display calendar dates and times according to the user's locale.  90% of survey respondents from each target market country will find that the date and time formatting of the product is correct.
",US,The product shall be able to display calendar dates and times according to the user's locale.  90% of survey respondents from each target market country will find that the date and time formatting of the product is correct.,9,"product, display calendar, user, locale, 90 % of survey, target market country, date, time formatting, product",20,"product, 90, respondent, correct, shall, target, market, country, locale, able, formatting, find, calendar, display, 's, date, time, user, accord, survey"
158,"O:The product must be developed with the J2SE/J2EE programming language libraries
",O,The product must be developed with the J2SE/J2EE programming language libraries,3,"product, j2se/j2ee, programming language",7,"product, language, develop, library, must, j2se/j2ee, program"
159,"F:The product shall record meeting entries.
",F,The product shall record meeting entries.,2,"product, record meeting",5,"product, record, meeting, entry, shall"
160,"F:The product will notify employees of meeting invitations.
",F,The product will notify employees of meeting invitations.,2,"product, of meeting",5,"notify, product, meeting, invitation, employee"
161,"F:The product shall have the ability to send meeting reminders to employees.
",F,The product shall have the ability to send meeting reminders to employees.,3,"product, ability, send meeting",7,"product, meeting, employee, send, shall, reminder, ability"
162,"F:The product shall assign the organizers contact information to each meeting they create.
",F,The product shall assign the organizers contact information to each meeting they create.,3,"product, contact information, meeting",8,"organizer, product, meeting, assign, information, shall, contact, create"
163,"F:The product will record meeting acknowledgements.
",F,The product will record meeting acknowledgements.,2,"product, record meeting",4,"product, record, meeting, acknowledgement"
164,"F:The product shall store new conference rooms.
",F,The product shall store new conference rooms.,2,"product, conference",6,"product, new, conference, shall, store, room"
165,"F:The product shall update existing conference rooms.
",F,The product shall update existing conference rooms.,2,"product, update existing conference",6,"product, conference, exist, shall, update, room"
166,"F:The product will be able to delete conference rooms.
",F,The product will be able to delete conference rooms.,2,"product, delete conference",5,"able, product, delete, conference, room"
167,"F:The product shall be able to store new room equipment.
",F,The product shall be able to store new room equipment.,2,"product, room equipment",7,"able, product, new, equipment, shall, store, room"
168,"F:The product will update existing room equipment.
",F,The product will update existing room equipment.,2,"product, room equipment",5,"product, equipment, existing, update, room"
169,"F:The product shall be able to delete room equipment.
",F,The product shall be able to delete room equipment.,2,"product, delete room equipment",6,"able, product, delete, equipment, shall, room"
170,"F:The product shall allow an organizer to invite other employees to meetings.
",F,The product shall allow an organizer to invite other employees to meetings.,2,"product, organizer",7,"organizer, product, invite, meeting, allow, shall, employee"
171,"F: Each time a conference room is reserved  the conference room schedule shall be updated to reflect the time and date of the reservation.
",F, Each time a conference room is reserved  the conference room schedule shall be updated to reflect the time and date of the reservation.,6,"time, conference room, conference room schedule, time, date, reservation",10,"reservation, date, conference, time, schedule, shall, update, reflect, reserve, room"
172,"F:The product shall record the transportation status of equipment reserved.
",F,The product shall record the transportation status of equipment reserved.,3,"product, transportation status, of equipment",7,"product, record, equipment, shall, transportation, status, reserve"
173,"F:The product shall display a map of the company building showing conference room locations.
",F,The product shall display a map of the company building showing conference room locations.,4,"product, map, company, building showing conference room",10,"product, company, build, conference, map, shall, show, display, location, room"
174,"F:The product shall record updated meeting agendas.
",F,The product shall record updated meeting agendas.,2,"product, meeting",6,"product, record, agenda, meeting, shall, updated"
175,"F:The product shall send a meeting confirmation to the meeting organizer.
",F,The product shall send a meeting confirmation to the meeting organizer.,3,"product, meeting confirmation, meeting organizer",6,"organizer, product, meeting, send, confirmation, shall"
176,"F:The product shall display room equipment according to search parameters.
",F,The product shall display room equipment according to search parameters.,3,"product, display room equipment, search",8,"product, accord, parameter, search, equipment, shall, display, room"
177,"F:The product shall display conference rooms according to search parameters.
",F,The product shall display conference rooms according to search parameters.,3,"product, display conference, search",8,"product, accord, parameter, search, conference, shall, display, room"
178,"F:The product shall record different meeting types.
",F,The product shall record different meeting types.,2,"product, meeting",6,"product, record, meeting, type, shall, different"
179,"F:The product shall record all the equipment that has been reserved.
",F,The product shall record all the equipment that has been reserved.,2,"product, equipment",5,"product, record, equipment, shall, reserve"
180,"F:The product shall notify building personnel of equipment transport requests.
",F,The product shall notify building personnel of equipment transport requests.,3,"product, notify building, of equipment transport",8,"notify, personnel, product, equipment, building, shall, transport, request"
181,"F:The product will allow priviledged users to view meeting schedules in multiple reporting views.
",F,The product will allow priviledged users to view meeting schedules in multiple reporting views.,3,"product, view meeting, reporting",9,"product, meeting, reporting, multiple, priviledged, allow, view, schedule, user"
182,"F:The product shall be able to send meeting notifications via different kinds of end-user specified methods.
",F,The product shall be able to send meeting notifications via different kinds of end-user specified methods.,3,"product, send meeting, of end-user",12,"able, product, meeting, end-user, send, notification, specify, shall, different, via, method, kind"
183,"F:The product shall have a customizable Look and Feel.
",F,The product shall have a customizable Look and Feel.,3,"product, look, feel",5,"product, feel, customizable, shall, look"
184,"F:The product shall have an intuitive user interface.
",F,The product shall have an intuitive user interface.,2,"product, user interface",5,"product, intuitive, interface, shall, user"
185,"F:The product will display an available status for unreserved conference rooms.
",F,The product will display an available status for unreserved conference rooms.,3,"product, status, conference",7,"product, display, conference, available, unreserved, status, room"
186,"PE:Recreation of Inventory Quantity Adjustment for the period of previous 30 days shall take no more than 30min.
",PE,Recreation of Inventory Quantity Adjustment for the period of previous 30 days shall take no more than 30min.,2,"recreation of inventory quantity adjustment, period",11,"recreation, 30, day, 30min, quantity, take, adjustment, previous, shall, period, inventory"
187,"PE:The System shall allow for a minimum of  6 users to work at the same time.
",PE,The System shall allow for a minimum of  6 users to work at the same time.,3,"system, minimum, time",8,"time, allow, system, shall, minimum, user, 6, work"
188,"O:The System shall utilize currently owned computer equipment.
",O,The System shall utilize currently owned computer equipment.,2,"system, currently owned computer equipment",6,"utilize, computer, currently, equipment, system, shall"
189,"O:The System shall be able to automatically backup business data and restore them on demand.
",O,The System shall be able to automatically backup business data and restore them on demand.,3,"system, automatically backup business, on demand",9,"able, automatically, data, restore, system, shall, business, backup, demand"
190,"SE:The System shall maintain consistent security.  Any changes in user passwords and/or permissions should take affect in all parts of the System.
",SE,The System shall maintain consistent security.  Any changes in user passwords and/or permissions should take affect in all parts of the System.,5,"system, security, in user, take affect, system",13,"permission, and/or, consistent, take, security, system, change, shall, maintain, affect, user, part, password"
191,"SE:The System shall granularly control access rights to all major subsystems.  It should be possible to assign access rights to all subsystems independently.
",SE,The System shall granularly control access rights to all major subsystems.  It should be possible to assign access rights to all subsystems independently.,3,"system, granularly control access, assign access",11,"subsystem, independently, granularly, control, assign, system, possible, shall, major, access, right"
192,"L:The System shall meet all applicable accounting standards.  The final version of the System must successfully pass independent audit performed by a certified auditor.
",L,The System shall meet all applicable accounting standards.  The final version of the System must successfully pass independent audit performed by a certified auditor.,6,"system, accounting, version, system, audit, auditor",16,"final, successfully, perform, meet, accounting, version, pass, certified, applicable, must, independent, audit, system, auditor, standard, shall"
193,"O:The System shall not require additional third party licenses resulting in royalty fees.
",O,The System shall not require additional third party licenses resulting in royalty fees.,3,"system, party, resulting in royalty",10,"party, additional, fee, result, third, require, system, shall, license, royalty"
194,"F:The System shall allow generation of Inventory Quantity Adjustment documents on demand.
",F,The System shall allow generation of Inventory Quantity Adjustment documents on demand.,3,"system, allow generation of inventory quantity adjustment, on demand",9,"document, quantity, demand, adjustment, allow, system, shall, generation, inventory"
195,"F:The System shall allow on demand generation of all Inventory Quantity Adjustment documents since certain point of time.
",F,The System shall allow on demand generation of all Inventory Quantity Adjustment documents since certain point of time.,4,"system, allow on demand generation, inventory quantity adjustment, point of time",13,"document, inventory, since, quantity, adjustment, time, allow, system, shall, point, generation, certain, demand"
196,"F:The IQA subsystem shall take into account current inventory status and adjust inventory of substitutionary ingredients accordingly.
",F,The IQA subsystem shall take into account current inventory status and adjust inventory of substitutionary ingredients accordingly.,4,"iqa subsystem, take into account, inventory status, inventory",12,"subsystem, substitutionary, account, iqa, accordingly, take, current, adjust, ingredient, shall, status, inventory"
197,"F: The System shall allow entering  storing and modifying product formulas.
",F, The System shall allow entering  storing and modifying product formulas.,2,"system, modifying product",8,"modify, product, formula, allow, system, enter, shall, store"
198,"F: Product formulas shall allow use of semi-products  which have own formulas.
",F, Product formulas shall allow use of semi-products  which have own formulas.,2,"product, allow use",6,"product, semi-products, formula, allow, shall, use"
199,"F:Product formula ingredients shall allow defining substitutionary ingredients.
",F,Product formula ingredients shall allow defining substitutionary ingredients.,1,product formula,7,"product, substitutionary, formula, ingredient, allow, shall, define"
200,"F:Product formula substitutionary ingredients shall be entered automatically by the PFE subsystem.
",F,Product formula substitutionary ingredients shall be entered automatically by the PFE subsystem.,2,"product formula, pfe subsystem",9,"subsystem, substitutionary, product, automatically, formula, ingredient, enter, shall, pfe"
201,"F:Formula substitutionary ingredients shall be kept in persisted order
",F,Formula substitutionary ingredients shall be kept in persisted order,2,"formula, order",7,"substitutionary, keep, persisted, formula, ingredient, order, shall"
202,"F: Product shall allow entering  storing and modifying product menus used by POS terminals.
",F, Product shall allow entering  storing and modifying product menus used by POS terminals.,3,"product, modifying product, used by pos",10,"modify, product, menu, po, enter, allow, terminal, shall, use, store"
203,"F:PME Subsystem shall allow building product menus based on the list of products kept in the accounting system.
",F,PME Subsystem shall allow building product menus based on the list of products kept in the accounting system.,4,"pme subsystem, allow building product, list, accounting system",12,"subsystem, menu, product, accounting, list, keep, base, allow, system, building, shall, pme"
204,"F:PME Subsystem shall allow keeping submenus within menus and products within submenus in a managed and persisted order.
",F,PME Subsystem shall allow keeping submenus within menus and products within submenus in a managed and persisted order.,4,"pme subsystem, within submenus, managed, order",12,"subsystem, menu, product, keep, persisted, managed, submenu, allow, order, shall, within, pme"
205,"F:PME Subsystem shall allow for a product to exist in more than one submenu
",F,PME Subsystem shall allow for a product to exist in more than one submenu,3,"pme subsystem, product, one submenu",8,"subsystem, product, submenu, allow, exist, one, shall, pme"
206,"F:The RMS System shall have Windows XP look and feel and use GUI futures making its use intuitive.
",F,The RMS System shall have Windows XP look and feel and use GUI futures making its use intuitive.,5,"rms system, xp look, feel, use gui, use intuitive",12,"future, gui, rms, intuitive, feel, make, xp, system, shall, look, use, window"
207,"F:The System shall generate Inventory Quantity Adjustment document based on product daily sales data and product formulas.
",F,The System shall generate Inventory Quantity Adjustment document based on product daily sales data and product formulas.,4,"system, generate inventory quantity adjustment document, based on product, product",13,"document, product, base, quantity, data, formula, adjustment, system, generate, sale, shall, daily, inventory"
208,"F:The System shall generate Inventory Quantity Adjustment document automatically when daily Product Sales data is available.
",F,The System shall generate Inventory Quantity Adjustment document automatically when daily Product Sales data is available.,3,"system, generate inventory quantity adjustment document, product",13,"document, product, quantity, automatically, data, adjustment, system, generate, sale, shall, daily, available, inventory"
209,"PE:Administrator shall be able to activate a pre-paid card via the Administration section in under 5 seconds.
",PE,Administrator shall be able to activate a pre-paid card via the Administration section in under 5 seconds.,3,"administrator, card, administration section",11,"able, second, administrator, administration, activate, card, pre-paid, shall, 5, via, section"
210,"PE: Customer shall be able to check the status of their prepaid card  by entering in the PIN number  in under 5 seconds.
",PE, Customer shall be able to check the status of their prepaid card  by entering in the PIN number  in under 5 seconds.,4,"customer, status, prepaid card, pin number",12,"able, pin, check, second, card, enter, customer, shall, 5, prepay, status, number"
211,"PE:System shall let customers register on the website as a 'pay as you go' user in under 5 minutes.
",PE,System shall let customers register on the website as a 'pay as you go' user in under 5 minutes.,4,"system, website, 'pay, user",11,"5, minute, go, system, 'pay, customer, shall, let, register, user, website"
212,"PE:System shall let customers register on the website as a 'unlimited movie subscriber' user in under 10 minutes.
",PE,System shall let customers register on the website as a 'unlimited movie subscriber' user in under 10 minutes.,4,"system, website, movie subscriber, user",12,"minute, 'unlimited, movie, system, customer, shall, let, register, subscriber, user, 10, website"
213,"PE:System shall let existing customers log into the website with their email address and password in under 5 seconds.
",PE,System shall let existing customers log into the website with their email address and password in under 5 seconds.,4,"system, website, email address, password",12,"website, second, password, exist, system, customer, shall, let, 5, email, log, address"
214,"PE: System shall let customers cancel their account  process shall take no longer than 2 minutes.  Database will mark the account as inactive  and user will not be able to log into the website.
",PE, System shall let customers cancel their account  process shall take no longer than 2 minutes.  Database will mark the account as inactive  and user will not be able to log into the website.,6,"system, account process, database, account, user, website",18,"inactive, account, system, cancel, shall, long, 2, take, mark, able, process, website, log, minute, customer, let, user, database"
215,"PE:System shall let administrator de-activate a customer account in under 1 minute. Customer will no longer be able to access the website.
",PE,System shall let administrator de-activate a customer account in under 1 minute. Customer will no longer be able to access the website.,6,"system, customer account, 1 minute, customer, access, website",13,"able, account, website, administrator, minute, longer, system, customer, shall, let, 1, de-activate, access"
216,"PE:System shall let administrator add/remove movies on the website in under 5 minutes.  Entered movie information will be stored in the database and will now be available on the website.
",PE,System shall let administrator add/remove movies on the website in under 5 minutes.  Entered movie information will be stored in the database and will now be available on the website.,5,"system, website, entered movie information, database, website",14,"administrator, minute, movie, information, enter, system, add/remove, shall, let, 5, store, available, website, database"
217,"PE:System shall let the administrator add/remove categories on the website in under 5 minutes.
",PE,System shall let the administrator add/remove categories on the website in under 5 minutes.,3,"system, administrator, website",9,"administrator, minute, system, add/remove, shall, let, 5, category, website"
218,"PE:System shall let Izogn Manager access sales and usage statistics in under 2 minutes.
",PE,System shall let Izogn Manager access sales and usage statistics in under 2 minutes.,2,"system, manager access",11,"2, manager, statistic, minute, system, sale, usage, shall, let, izogn, access"
219,"PE:System shall let administrators generate unique pre-paid pins in under 2 minutes and generate an Excel file with the generated PINs.
",PE,System shall let administrators generate unique pre-paid pins in under 2 minutes and generate an Excel file with the generated PINs.,2,"system, excel file",13,"2, generated, pin, administrator, minute, excel, system, generate, pre-paid, shall, let, file, unique"
220,"LF:The website shall be attractive to all audiences.  The website shall appear to be fun and the colors should be bright and vibrant.
",LF,The website shall be attractive to all audiences.  The website shall appear to be fun and the colors should be bright and vibrant.,2,"be fun, vibrant",9,"audience, attractive, vibrant, bright, fun, shall, appear, color, website"
221,"LF: The website should have an African feel  but should not alienate non-Africans.  The website should use animation on pages which are describing the services  to grab the users attention and encourage them to sign up.
",LF, The website should have an African feel  but should not alienate non-Africans.  The website should use animation on pages which are describing the services  to grab the users attention and encourage them to sign up.,5,"website, feel, website, use animation, attention",15,"attention, alienate, page, encourage, feel, sign, african, describe, service, use, animation, user, non-africans, website, grab"
222,"LF: The website design should be modern  clean  and concise.
",LF, The website design should be modern  clean  and concise.,2,"design, concise",5,"clean, concise, modern, design, website"
223,"US:The product should be able to be used by 90% of novice users on the Internet.
",US,The product should be able to be used by 90% of novice users on the Internet.,3,"product, 90 % of novice, internet",7,"able, internet, product, 90, novice, use, user"
224,"US: Users should only have to navigate through a maximum of 4 pages  to create an account with the website.
",US, Users should only have to navigate through a maximum of 4 pages  to create an account with the website.,3,"maximum, account, website",8,"navigate, maximum, page, account, 4, user, website, create"
225,"US:Users should be able to access their streaming movies in under 2 clicks after logging into the website.
",US,Users should be able to access their streaming movies in under 2 clicks after logging into the website.,3,"access, streaming, website",9,"able, 2, click, streaming, log, website, movie, user, access"
226,"US:An anonymous survey will show that 70% of customers are comfortable purchasing streaming movies after 2 weeks using the website.
",US,An anonymous survey will show that 70% of customers are comfortable purchasing streaming movies after 2 weeks using the website.,3,"survey, 70 %, website",13,"stream, 2, website, anonymous, movie, purchase, customer, week, use, show, 70, survey, comfortable"
227,"US:An anonymous survey will show that 95% of customers are comfortable using and purchasing pre-paid cards after a month of using the system.
",US,An anonymous survey will show that 95% of customers are comfortable using and purchasing pre-paid cards after a month of using the system.,4,"survey, 95 %, month, system",12,"anonymous, month, 95, card, purchase, pre-paid, customer, system, use, show, survey, comfortable"
228,"US:The product shall retain the customer's buying preferences and information.
",US,The product shall retain the customer's buying preferences and information.,4,"product, customer, buying, information",8,"preference, retain, product, buying, information, customer, shall, 's"
229,"US:The product shall be easy for customers with novice skills on the  Internet to purchase and watch streaming movies.  Customers should be able to purchase and watch a pre-determined movie in under 3 minutes.
",US,The product shall be easy for customers with novice skills on the  Internet to purchase and watch streaming movies.  Customers should be able to purchase and watch a pre-determined movie in under 3 minutes.,3,"product, internet, movie",15,"able, internet, product, stream, minute, movie, pre-determined, novice, 3, purchase, customer, shall, easy, skill, watch"
230,"US:The product shall use symbols and words that are naturally understandable by users familiar with websites
",US,The product shall use symbols and words that are naturally understandable by users familiar with websites,1,product,10,"product, naturally, word, symbol, understandable, familiar, shall, use, user, website"
231,"US:The website will use standard Internet conventions when interacting with the user.
",US,The website will use standard Internet conventions when interacting with the user.,3,"website, internet, user",7,"internet, interact, standard, use, user, convention, website"
232,"PE: Any interface between a user and the automated system shall have a maximum response time of 5 seconds  unless noted by an exception below.
",PE, Any interface between a user and the automated system shall have a maximum response time of 5 seconds  unless noted by an exception below.,5,"interface, user, system, response time, exception",13,"maximum, unless, second, note, interface, automated, response, time, exception, system, shall, 5, user"
233,"PE: When purchasing a streaming movie or pre-paid card via credit card  the processing time should have a maximum response time of 15 seconds.
",PE, When purchasing a streaming movie or pre-paid card via credit card  the processing time should have a maximum response time of 15 seconds.,4,"movie, card via credit, processing time, response time",13,"maximum, streaming, 15, second, processing, movie, time, response, card, purchase, pre-paid, via, credit"
234,"PE: When streaming a movie  the buffering time should take no longer than 10 seconds (plus any latency on the user's connection.)
",PE, When streaming a movie  the buffering time should take no longer than 10 seconds (plus any latency on the user's connection.),5,"movie, buffering time, latency, user, connection",13,"stream, connection, second, buffering, movie, time, take, long, plus, user, 10, latency, 's"
235,"PE: While streaming a movie  buffering should only occur if there is latency in the user's connection.
",PE, While streaming a movie  buffering should only occur if there is latency in the user's connection.,4,"movie buffering, is latency, user, connection",8,"stream, connection, buffering, movie, user, latency, 's, occur"
